Abrangência;nome;sigla;Casos.confirmados;Óbitos;dia;confirmados
Unidade da Federação;RIO DE JANEIRO;RJ; 13;NA;2020-03-11; 13
Unidade da Federação;SÃO PAULO;SP; 30;NA;2020-03-11; 30
Unidade da Federação;PARANÁ;PR;  0;NA;2020-03-11;  0
Unidade da Federação;SANTA CATARINA;SC;  0;NA;2020-03-11;  0
Unidade da Federação;RIO GRANDE DO SUL;RS;  2;NA;2020-03-11;  2
Unidade da Federação;MATO GROSSO DO SUL;MS;  0;NA;2020-03-11;  0
Unidade da Federação;MATO GROSSO;MT;  0;NA;2020-03-11;  0
Unidade da Federação;GOIÁS;GO;  0;NA;2020-03-11;  0
Unidade da Federação;DISTRITO FEDERAL;DF;  2;NA;2020-03-11;  2
Unidade da Federação;AMAPÁ;AP;  0;NA;2020-03-12;  0
Unidade da Federação;RORAIMA;RR;  0;NA;2020-03-12;  0
Unidade da Federação;RONDÔNIA;RO;  0;NA;2020-03-12;  0
Unidade da Federação;ACRE;AC;  0;NA;2020-03-12;  0
Unidade da Federação;AMAZONAS;AM;  0;NA;2020-03-12;  0
Unidade da Federação;PARÁ;PA;  0;NA;2020-03-12;  0
Unidade da Federação;TOCANTINS;TO;  0;NA;2020-03-12;  0
Unidade da Federação;MARANHÃO;MA;  0;NA;2020-03-12;  0
Unidade da Federação;PIAUÍ;PI;  0;NA;2020-03-12;  0
Unidade da Federação;CEARÁ;CE;  0;NA;2020-03-12;  0
Unidade da Federação;RIO GRANDE DO NORTE;RN;  0;NA;2020-03-12;  0
Unidade da Federação;PARAÍBA;PB;  0;NA;2020-03-12;  0
Unidade da Federação;PERNAMBUCO;PE;  0;NA;2020-03-12;  0
Unidade da Federação;ALAGOAS;AL;  1;NA;2020-03-12;  1
Unidade da Federação;SERGIPE;SE;  0;NA;2020-03-12;  0
Unidade da Federação;BAHIA;BA;  2;NA;2020-03-12;  2
Unidade da Federação;MINAS GERAIS;MG;  1;NA;2020-03-12;  1
Unidade da Federação;ESPÍRITO SANTO;ES;  1;NA;2020-03-12;  1
Unidade da Federação;RIO DE JANEIRO;RJ; 16;NA;2020-03-12; 16
Unidade da Federação;SÃO PAULO;SP; 41;NA;2020-03-12; 41
Unidade da Federação;PARANÁ;PR;  0;NA;2020-03-12;  0
Unidade da Federação;SANTA CATARINA;SC;  0;NA;2020-03-12;  0
Unidade da Federação;RIO GRANDE DO SUL;RS;  4;NA;2020-03-12;  4
Unidade da Federação;MATO GROSSO DO SUL;MS;  0;NA;2020-03-12;  0
Unidade da Federação;MATO GROSSO;MT;  0;NA;2020-03-12;  0
Unidade da Federação;GOIÁS;GO;  0;NA;2020-03-12;  0
Unidade da Federação;DISTRITO FEDERAL;DF;  2;NA;2020-03-12;  2
Unidade da Federação;AMAPÁ;AP;  0;NA;2020-03-13;  0
Unidade da Federação;RORAIMA;RR;  0;NA;2020-03-13;  0
Unidade da Federação;RONDÔNIA;RO;  0;NA;2020-03-13;  0
Unidade da Federação;ACRE;AC;  0;NA;2020-03-13;  0
Unidade da Federação;AMAZONAS;AM;  0;NA;2020-03-13;  0
Unidade da Federação;PARÁ;PA;  0;NA;2020-03-13;  0
Unidade da Federação;TOCANTINS;TO;  0;NA;2020-03-13;  0
Unidade da Federação;MARANHÃO;MA;  0;NA;2020-03-13;  0
Unidade da Federação;PIAUÍ;PI;  0;NA;2020-03-13;  0
Unidade da Federação;CEARÁ;CE;  0;NA;2020-03-13;  0
Unidade da Federação;RIO GRANDE DO NORTE;RN;  1;NA;2020-03-13;  1
Unidade da Federação;PARAÍBA;PB;  0;NA;2020-03-13;  0
Unidade da Federação;PERNAMBUCO;PE;  2;NA;2020-03-13;  2
Unidade da Federação;ALAGOAS;AL;  1;NA;2020-03-13;  1
Unidade da Federação;SERGIPE;SE;  0;NA;2020-03-13;  0
Unidade da Federação;BAHIA;BA;  2;NA;2020-03-13;  2
Unidade da Federação;MINAS GERAIS;MG;  2;NA;2020-03-13;  2
Unidade da Federação;ESPÍRITO SANTO;ES;  1;NA;2020-03-13;  1
Unidade da Federação;RIO DE JANEIRO;RJ; 16;NA;2020-03-13; 16
Unidade da Federação;SÃO PAULO;SP; 56;NA;2020-03-13; 56
Unidade da Federação;PARANÁ;PR;  6;NA;2020-03-13;  6
Unidade da Federação;SANTA CATARINA;SC;  2;NA;2020-03-13;  2
Unidade da Federação;RIO GRANDE DO SUL;RS;  4;NA;2020-03-13;  4
Unidade da Federação;MATO GROSSO DO SUL;MS;  0;NA;2020-03-13;  0
Unidade da Federação;MATO GROSSO;MT;  0;NA;2020-03-13;  0
Unidade da Federação;GOIÁS;GO;  3;NA;2020-03-13;  3
Unidade da Federação;DISTRITO FEDERAL;DF;  2;NA;2020-03-13;  2
Unidade da Federação;AMAPÁ;AP;  0;NA;2020-03-14;  0
Unidade da Federação;RORAIMA;RR;  0;NA;2020-03-14;  0
Unidade da Federação;RONDÔNIA;RO;  0;NA;2020-03-14;  0
Unidade da Federação;ACRE;AC;  0;NA;2020-03-14;  0
Unidade da Federação;AMAZONAS;AM;  0;NA;2020-03-14;  0
Unidade da Federação;PARÁ;PA;  0;NA;2020-03-14;  0
Unidade da Federação;TOCANTINS;TO;  0;NA;2020-03-14;  0
Unidade da Federação;MARANHÃO;MA;  0;NA;2020-03-14;  0
Unidade da Federação;PIAUÍ;PI;  0;NA;2020-03-14;  0
Unidade da Federação;CEARÁ;CE;  0;NA;2020-03-14;  0
Unidade da Federação;RIO GRANDE DO NORTE;RN;  1;NA;2020-03-14;  1
Unidade da Federação;PARAÍBA;PB;  0;NA;2020-03-14;  0
Unidade da Federação;PERNAMBUCO;PE;  2;NA;2020-03-14;  2
Unidade da Federação;ALAGOAS;AL;  1;NA;2020-03-14;  1
Unidade da Federação;SERGIPE;SE;  0;NA;2020-03-14;  0
Unidade da Federação;BAHIA;BA;  2;NA;2020-03-14;  2
