dia;sigla;nome;confirmados;obitos
2020-03-06;RJ;RIO DE JANEIRO;   1;NA
2020-03-06;RN;RIO GRANDE DO NORTE;   0;NA
2020-03-06;RS;RIO GRANDE DO SUL;   0;NA
2020-03-06;RO;RONDÔNIA;   0;NA
2020-03-06;RR;RORAIMA;   0;NA
2020-03-06;SC;SANTA CATARINA;   0;NA
2020-03-06;SP;SÃO PAULO;  10;NA
2020-03-06;SE;SERGIPE;   0;NA
2020-03-06;TO;TOCANTINS;   0;NA
2020-03-07;AC;ACRE;   0;NA
2020-03-07;AL;ALAGOAS;   0;NA
2020-03-07;AP;AMAPÁ;   0;NA
2020-03-07;AM;AMAZONAS;   0;NA
2020-03-07;BA;BAHIA;   2;NA
2020-03-07;CE;CEARÁ;   0;NA
2020-03-07;DF;DISTRITO FEDERAL;   1;NA
2020-03-07;ES;ESPÍRITO SANTO;   1;NA
2020-03-07;GO;GOIÁS;   0;NA
2020-03-07;MA;MARANHÃO;   0;NA
2020-03-07;MT;MATO GROSSO;   0;NA
2020-03-07;MS;MATO GROSSO DO SUL;   0;NA
2020-03-07;MG;MINAS GERAIS;   0;NA
2020-03-07;PA;PARÁ;   0;NA
2020-03-07;PB;PARAÍBA;   0;NA
2020-03-07;PR;PARANÁ;   0;NA
2020-03-07;PE;PERNAMBUCO;   0;NA
2020-03-07;PI;PIAUÍ;   0;NA
2020-03-07;RJ;RIO DE JANEIRO;   2;NA
2020-03-07;RN;RIO GRANDE DO NORTE;   0;NA
2020-03-07;RS;RIO GRANDE DO SUL;   0;NA
2020-03-07;RO;RONDÔNIA;   0;NA
2020-03-07;RR;RORAIMA;   0;NA
2020-03-07;SC;SANTA CATARINA;   0;NA
2020-03-07;SP;SÃO PAULO;  13;NA
2020-03-07;SE;SERGIPE;   0;NA
2020-03-07;TO;TOCANTINS;   0;NA
2020-03-08;AC;ACRE;   0;NA
2020-03-08;AL;ALAGOAS;   1;NA
2020-03-08;AP;AMAPÁ;   0;NA
2020-03-08;AM;AMAZONAS;   0;NA
2020-03-08;BA;BAHIA;   2;NA
2020-03-08;CE;CEARÁ;   0;NA
2020-03-08;DF;DISTRITO FEDERAL;   1;NA
2020-03-08;ES;ESPÍRITO SANTO;   1;NA
2020-03-08;GO;GOIÁS;   0;NA
2020-03-08;MA;MARANHÃO;   0;NA
2020-03-08;MT;MATO GROSSO;   0;NA
2020-03-08;MS;MATO GROSSO DO SUL;   0;NA
2020-03-08;MG;MINAS GERAIS;   1;NA
2020-03-08;PA;PARÁ;   0;NA
2020-03-08;PB;PARAÍBA;   0;NA
2020-03-08;PR;PARANÁ;   0;NA
2020-03-08;PE;PERNAMBUCO;   0;NA
2020-03-08;PI;PIAUÍ;   0;NA
2020-03-08;RJ;RIO DE JANEIRO;   3;NA
2020-03-08;RN;RIO GRANDE DO NORTE;   0;NA
2020-03-08;RS;RIO GRANDE DO SUL;   0;NA
2020-03-08;RO;RONDÔNIA;   0;NA
2020-03-08;RR;RORAIMA;   0;NA
2020-03-08;SC;SANTA CATARINA;   0;NA
2020-03-08;SP;SÃO PAULO;  16;NA
2020-03-08;SE;SERGIPE;   0;NA
2020-03-08;TO;TOCANTINS;   0;NA
2020-03-09;AC;ACRE;   0;NA
2020-03-09;AL;ALAGOAS;   1;NA
2020-03-09;AP;AMAPÁ;   0;NA
2020-03-09;AM;AMAZONAS;   0;NA
2020-03-09;BA;BAHIA;   2;NA
2020-03-09;CE;CEARÁ;   0;NA
2020-03-09;DF;DISTRITO FEDERAL;   1;NA
2020-03-09;ES;ESPÍRITO SANTO;   1;NA
2020-03-09;GO;GOIÁS;   0;NA
2020-03-09;MA;MARANHÃO;   0;NA
2020-03-09;MT;MATO GROSSO;   0;NA
2020-03-09;MS;MATO GROSSO DO SUL;   0;NA
2020-03-09;MG;MINAS GERAIS;   1;NA
2020-03-09;PA;PARÁ;   0;NA
2020-03-09;PB;PARAÍBA;   0;NA
2020-03-09;PR;PARANÁ;   0;NA
2020-03-09;PE;PERNAMBUCO;   0;NA
2020-03-09;PI;PIAUÍ;   0;NA
2020-03-09;RJ;RIO DE JANEIRO;   3;NA
2020-03-09;RN;RIO GRANDE DO NORTE;   0;NA
2020-03-09;RS;RIO GRANDE DO SUL;   0;NA
2020-03-09;RO;RONDÔNIA;   0;NA
2020-03-09;RR;RORAIMA;   0;NA
2020-03-09;SC;SANTA CATARINA;   0;NA
2020-03-09;SP;SÃO PAULO;  16;NA
2020-03-09;SE;SERGIPE;   0;NA
2020-03-09;TO;TOCANTINS;   0;NA
2020-03-10;AC;ACRE;   0;NA
2020-03-10;AL;ALAGOAS;   1;NA
2020-03-10;AP;AMAPÁ;   0;NA
2020-03-10;AM;AMAZONAS;   0;NA
2020-03-10;BA;BAHIA;   2;NA
2020-03-10;CE;CEARÁ;   0;NA
2020-03-10;DF;DISTRITO FEDERAL;   1;NA
2020-03-10;ES;ESPÍRITO SANTO;   1;NA
2020-03-10;GO;GOIÁS;   0;NA
2020-03-10;MA;MARANHÃO;   0;NA
2020-03-10;MT;MATO GROSSO;   0;NA
2020-03-10;MS;MATO GROSSO DO SUL;   0;NA
2020-03-10;MG;MINAS GERAIS;   1;NA
2020-03-10;PA;PARÁ;   0;NA
2020-03-10;PB;PARAÍBA;   0;NA
2020-03-10;PR;PARANÁ;   0;NA
2020-03-10;PE;PERNAMBUCO;   0;NA
2020-03-10;PI;PIAUÍ;   0;NA
2020-03-10;RJ;RIO DE JANEIRO;   8;NA
2020-03-10;RN;RIO GRANDE DO NORTE;   0;NA
2020-03-10;RS;RIO GRANDE DO SUL;   1;NA
2020-03-10;RO;RONDÔNIA;   0;NA
2020-03-10;RR;RORAIMA;   0;NA
2020-03-10;SC;SANTA CATARINA;   0;NA
2020-03-10;SP;SÃO PAULO;  19;NA
2020-03-10;SE;SERGIPE;   0;NA
2020-03-10;TO;TOCANTINS;   0;NA
2020-03-11;AC;ACRE;   0;NA
2020-03-11;AL;ALAGOAS;   1;NA
2020-03-11;AP;AMAPÁ;   0;NA
2020-03-11;AM;AMAZONAS;   0;NA
2020-03-11;BA;BAHIA;   2;NA
2020-03-11;CE;CEARÁ;   0;NA
2020-03-11;DF;DISTRITO FEDERAL;   2;NA
2020-03-11;ES;ESPÍRITO SANTO;   1;NA
2020-03-11;GO;GOIÁS;   0;NA
2020-03-11;MA;MARANHÃO;   0;NA
2020-03-11;MT;MATO GROSSO;   0;NA
2020-03-11;MS;MATO GROSSO DO SUL;   0;NA
2020-03-11;MG;MINAS GERAIS;   1;NA
2020-03-11;PA;PARÁ;   0;NA
2020-03-11;PB;PARAÍBA;   0;NA
2020-03-11;PR;PARANÁ;   0;NA
2020-03-11;PE;PERNAMBUCO;   0;NA
2020-03-11;PI;PIAUÍ;   0;NA
2020-03-11;RJ;RIO DE JANEIRO;  13;NA
2020-03-11;RN;RIO GRANDE DO NORTE;   0;NA
2020-03-11;RS;RIO GRANDE DO SUL;   2;NA
2020-03-11;RO;RONDÔNIA;   0;NA
2020-03-11;RR;RORAIMA;   0;NA
2020-03-11;SC;SANTA CATARINA;   0;NA
2020-03-11;SP;SÃO PAULO;  30;NA
2020-03-11;SE;SERGIPE;   0;NA
2020-03-11;TO;TOCANTINS;   0;NA
2020-03-12;AC;ACRE;   0;NA
2020-03-12;AL;ALAGOAS;   1;NA
2020-03-12;AP;AMAPÁ;   0;NA
2020-03-12;AM;AMAZONAS;   0;NA
